0;209.80
1;5772.68
2;1906.77
3;7057.27
4;9921.41
5;1386.01
6;5011.95
7;1282.44
8;2655.58
9;8619.75
10;3000.00
11;8534.80
12;3459.70
13;8084.34
14;9829.15
15;7390.30
16;613.89
17;5029.43
18;8073.65
19;3822.45
20;4417.20
21;6919.29
22;1947.91
23;4800.61
24;1590.52
25;1988.90
26;1030.65
27;9608.17
28;8307.64
29;8847.25
30;1128.11
31;7808.00
32;7226.73
33;2034.10
34;908.67
35;5751.26
36;5123.25
37;6263.95
38;6475.49
39;3990.65
40;3132.27
41;9948.00
42;4820.18
43;8023.54
44;6542.87
45;8991.99
46;9250.88
47;9483.39
48;9757.80
49;2519.35
50;8407.33
51;8574.12
52;1542.63
53;2170.28
54;9412.57
55;317.99
56;6195.60
57;6869.88
58;7082.67
59;1086.26
60;5816.72
61;3926.22
62;6396.60
63;218.22
64;117.93
65;6750.20
66;7741.17
67;9829.75
68;846.68
69;8652.38
70;9731.23
71;1978.92
72;2647.47
73;5100.41
74;6792.95
75;9.45
76;6288.74
77;686.15
78;2232.49
79;1284.61
80;3642.37
81;276.10
82;8036.66
83;5547.87
84;6195.41
85;2509.84
86;3188.40
87;1843.31
88;4721.75
89;3292.87
90;4740.74
91;5246.16
92;4834.30
93;9046.10
94;7636.60
95;9540.37
96;224.84
97;6292.51
98;6135.52
99;5305.17
100;8671.50
101;2939.85
102;1966.10
103;7767.16
104;2514.89
105;4639.97
106;3819.80
107;9287.34
108;4707.36
109;1166.55
110;6986.15
111;2392.93
112;2473.50
113;4846.24
114;6290.84
115;3831.41
116;3288.53
117;925.79
118;7154.43
119;5125.52
120;6316.59
121;5977.37
122;3204.57
123;9519.00
124;5124.87
125;4252.78
126;2677.41
127;7613.65
128;9465.13
129;5042.91
130;3629.24
131;4226.60
132;7540.57
133;9147.68
134;2532.26
135;371.27
136;3337.20
137;3559.41
138;5705.86
139;6885.57
140;5244.12
141;346.75
142;4651.42
143;9235.78
144;5357.60
145;7331.26
146;1845.86
147;8025.60
148;488.80
149;3829.62
150;2284.43
151;332.63
152;4962.65
153;1849.71
154;8420.14
155;5968.81
156;6977.83
157;4830.74
158;6748.00
159;6428.64
160;3600.53
161;3093.19
162;8972.68
163;1175.70
164;1159.11
165;4959.19
166;1873.10
167;1156.26
168;1636.21
169;2226.33
170;2544.73
171;3331.61
172;6503.84
